fecha,hora,peso
03/01/19,7:39:00,72.8
04/01/19,10:42:00,73.2
05/01/19,14:12:00,73
06/01/19,11:06:00,73.4
07/01/19,6:40:00,73.4
08/01/19,6:29:00,72.8
09/01/19,6:41:00,73
10/01/19,7:12:00,72.8
12/01/19,7:54:00,72.6
13/01/19,9:01:00,72
15/01/19,6:42:00,72
16/01/19,6:59:00,72
17/01/19,6:59:00,72
18/01/19,6:59:00,72.2
19/01/19,7:15:00,72.6
20/01/19,9:28:00,72.6
21/01/19,6:22:00,72.6
22/01/19,6:01:00,72.8
23/01/19,7:18:00,72.6
24/01/19,7:18:00,72.2
25/01/19,8:07:00,72.2
26/01/19,7:23:00,72
27/01/19,8:53:00,72.6
28/01/19,8:36:00,72.8
29/01/19,8:17:00,72.2
30/01/19,7:07:00,72
31/01/19,7:45:00,72.2
01/02/19,6:24:00,72
02/02/19,6:40:00,72.4
03/02/19,10:07:00,72.2
06/02/19,7:29:00,71.8
07/02/19,6:20:00,72
08/02/19,6:15:00,72.2
09/02/19,8:44:00,72.2
10/02/19,8:44:00,71.8
11/02/19,6:27:00,72.2
12/02/19,9:51:00,72.4
13/02/19,7:17:00,72.6
14/02/19,6:00:00,72.2
15/02/19,6:30:00,72.2
16/02/19,7:15:00,71.8
17/02/19,7:59:00,71.8
18/02/19,6:10:00,72.6
19/02/19,7:33:00,72.4
20/02/19,7:11:00,72.2
21/02/19,6:11:00,71.6
22/02/19,6:44:00,71.6
23/02/19,8:51:00,71.2
25/02/19,6:38:00,73
26/02/19,6:34:00,72.2
27/02/19,7:25:00,71.6
28/02/19,7:30:00,71.4
01/03/19,10:41:00,71.2
02/03/19,7:42:00,72
03/03/19,11:32:00,71.8
04/03/19,8:47:00,71.8
05/03/19,7:23:00,71.8
06/03/19,7:29:00,71.6
07/03/19,6:28:00,71
08/03/19,6:39:00,71.6
09/03/19,11:27:00,71.2
10/03/19,9:06:00,72
11/03/19,7:16:00,72.4
12/03/19,7:30:00,72.2
13/03/19,9:58:00,71.6
14/03/19,7:26:00,71.2
15/03/19,6:01:00,71.2
16/03/19,9:02:00,71
17/03/19,7:59:00,71.4
18/03/19,7:20:00,71.4
19/03/19,5:43:00,71.8
20/03/19,6:14:00,70.8
21/03/19,6:10:00,70.8
22/03/19,7:36:00,71.2
23/03/19,7:27:00,71.2
24/03/19,8:58:00,71.8
25/03/19,6:22:00,72.2
26/03/19,6:48:00,71.6
27/03/19,6:32:00,71.2
28/03/19,6:00:00,71.2
29/03/19,6:10:00,71.6
30/03/19,6:45:00,71.6
31/03/19,9:34:00,71.4
01/04/19,6:03:00,72
02/04/19,7:20:00,71.8
03/04/19,6:00:00,71.8
04/04/19,6:00:00,71.6
05/04/19,6:28:00,71.6
06/04/19,6:45:00,71.2
07/04/19,8:34:00,71
08/04/19,6:05:00,71.4
09/04/19,6:47:00,71.2
10/04/19,6:04:00,71.4
11/04/19,5:53:00,71.2
12/04/19,6:01:00,71.2
13/04/19,6:53:00,71.4
14/04/19,8:54:00,72.2
15/04/19,8:36:00,71.2
16/04/19,8:38:00,71
17/04/19,8:33:00,71.2
18/04/19,8:10:00,71.6
19/04/19,10:10:00,72.2
20/04/19,8:37:00,72.4
21/04/19,10:00:00,72.2
24/04/19,7:22:00,72.2
25/04/19,8:58:00,72.2
26/04/19,11:06:00,72.6
27/04/19,18:58:00,71.6
28/04/19,9:33:00,72
29/04/19,6:21:00,72
30/04/19,7:29:00,71.6
01/05/19,7:46:00,71.4
02/05/19,6:00:00,72.2
03/05/19,7:18:00,71.8
04/05/19,7:27:00,71.8
05/05/19,7:39:00,72.4
06/05/19,6:39:00,71.6
07/05/19,7:53:00,71
08/05/19,6:00:00,70.8
09/05/19,6:00:00,71.6
10/05/19,6:13:00,71.2
11/05/19,9:15:00,71
12/05/19,11:20:00,71.2
13/05/19,6:00:00,71.8
14/05/19,9:43:00,71.8
15/05/19,9:07:00,70.2
16/05/19,6:14:00,71.4
17/05/19,6:10:00,71
18/05/19,7:33:00,71
19/05/19,10:34:00,70.8
20/05/19,6:19:00,70.8
21/05/19,6:20:00,71
22/05/19,6:01:00,71.4
23/05/19,6:12:00,71
24/05/19,5:59:00,71
25/05/19,6:58:00,70.6
26/05/19,8:43:00,70.4
27/05/19,5:54:00,71.4
28/05/19,6:00:00,71.2
29/05/19,6:00:00,71
30/05/19,6:35:00,71
31/05/19,6:38:00,72
01/06/19,7:29:00,71.8
02/06/19,7:22:00,71.8
03/06/19,6:22:00,70.8
04/06/19,6:14:00,70.8
05/06/19,6:19:00,70.8
06/06/19,6:00:00,71
07/06/19,5:56:00,70.8
08/06/19,8:57:00,70.8
09/06/19,8:56:00,71.2
10/06/19,6:45:00,71.6
11/06/19,6:00:00,71.6
12/06/19,6:18:00,71.2
13/06/19,6:39:00,70.8
14/06/19,7:32:00,70.6
15/06/19,7:00:00,70.6
16/06/19,9:21:00,71
17/06/19,7:06:00,71.6
18/06/19,6:30:00,71.2
19/06/19,6:30:00,71.2
20/06/19,6:30:00,71.2
21/06/19,6:44:00,71.2
22/06/19,8:04:00,71.2
